CourseNo,DepartmentCode,MaxOverall2rength,MinOtherBranch2rength,AllocationType,Credit,Slot,Additional Slot,
LFQPIS,LF,60,10,2,9,GY,
LFXTGG,LF,60,10,2,9,SX,
LFBMNW,LF,60,10,2,9,YG,
LFBXPN,LF,60,10,2,6,JX,
LFVJPA,LF,60,10,2,9,BV,
LFNMEQ,LF,60,10,2,9,GY,
LFWVHJ,LF,60,10,2,9,CX,
LFSBJJ,LF,25,5,2,9,ZN,
LFPDGV,LF,60,10,2,9,UN,
LFLFPM,LF,60,10,2,9,MT,
LFHIZL,LF,15,5,2,9,GY,
LFFUAL,LF,10,0,2,9,EZ,
LFAKUD,LF,60,10,2,9,SX,
LFIDWQ,LF,10,0,2,9,EU,
LFDVTW,LF,60,10,2,9,GY,
LFERTJ,LF,10,10,2,9,KV,
LFMGKE,LF,15,5,2,9,GY,
LFYNDN,LF,10,10,2,10,BV,
DSKJVV,DS,100,5,1,10,UN,
DSTGDL,DS,10,5,1,10,JD,
DSVZGC,DS,190,10,1,5,EU,CX,
DSCODQ,DS,10,5,1,10,BV,
DSCQDH,DS,10,5,1,10,EZ,
DSZDEW,DS,10,5,1,10,UN,
DSKPSV,DS,10,5,1,9,GY,
DSSIER,DS,15,5,1,9,JD,
DSTVXI,DS,0,0,1,5,EU,CX
DSLGZQ,DS,0,0,1,5,KV,JX
DSWQKL,DS,100,5,1,10,BV,
DSPGMP,DS,100,0,1,5,EU,,
DSLCOI,DS,100,0,1,5,CX,,
DSZFGP,DS,100,0,1,10,KV,,
DSIGUY,DS,100,0,1,10,JX,,
DSZVWH,DS,100,0,1,9,RF,
DSCLXQ,DS,40,20,1,9,YG,
DSXJJT,DS,45,30,1,9,GY,
DSLAHJ,DS,20,10,1,9,GY,
DSSPCL,DS,10,5,1,9,LN,
DSMQRI,DS,10,5,3,9,GY,
DSMUQM,DS,10,5,1,9,YG,
DSCFZA,DS,10,5,1,9,JD,
DSWJGL,DS,10,5,1,9,SX,
DSNPQL,DS,30,20,1,9,SX,
DSAAFM,DS,20,10,1,9,YG,
DSQRDO,DS,10,5,1,9,YG,
DSISHA,DS,40,20,1,9,SX,
DSAFYI,DS,190,150,1,9,GY,
DSJURV,DS,25,5,3,9,SX,
DSTZHW,DS,20,10,1,9,GI,
DSKUYZ,DS,10,0,3,9,SX,
XMJIBU,XM,0,0,3,12,GY,FG,HB,
XMMCBB,XM,0,0,3,9,JD,
XMPCJP,XM,0,0,3,4,JH,
XMKZHN,XM,0,0,3,10,UN,
XMJFCB,XM,0,0,3,6,KV,
XMIMXS,XM,10,10,3,9,UN,
XMLJMC,XM,10,10,3,15,BV,JH,
XMRIEZ,XM,10,10,3,15,JD,KV,
XMAFNC,XM,66,6,3,12,EZ,
XMKLXA,XM,60,0,3,12,RF,
XMPBPG,XM,30,0,3,12,YC,
XMBELY,XM,30,10,3,12,SX,
XMHZDH,XM,30,0,3,15,YG,
XMFFJO,XM,50,10,3,12,EZ,
XMMLMN,XM,60,20,3,12,YG,
XMKBXQ,XM,80,40,3,12,GY,
XMGNAN,XM,50,20,3,12,ZN,
